thread_id,customer_tweet_id,spotify_reply_id,customer_text,spotify_reply,created_at
2006281,2006281,2006280,"I love , but when I hit Shuffle, I expect the whole playlist to shuffle. Never got this treatment from",Hi Joshua! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /DR,Sat Nov 04 09:48:44 +0000 2017
2444269,2444269,2444268,. Been trying to add my dad on my Spotify premium since yesterday. I might just switch to Apple Music. .,Hey Akash! Could you send us a DM with your and your dad's usernames or accounts' email addresses? We'll take a look backstage /CH,Wed Nov 15 00:32:03 +0000 2017
1942493,1942493,1942492,Unsure what's going on but noticed my library isn't listing all of my songs that I've added. Is there a known issue right now?,Hey Caroline! That's odd. Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /YM,Mon Oct 30 00:48:11 +0000 2017
2051599,2051599,2051598,"Disappointed no longer accept NUS and my college aren't eligible for unidays, after 8 yrs maybe time to go for AppleMusic",Hi Pete! We're sorry to hear you feel that way. Can you send us your account's username or email address via DM? We'll keep an eye out /LP,Thu Oct 05 21:13:43 +0000 2017
2960676,2960676,2960674,I just wanna know why I can pick and choose ANY song I want on on the computer but not my app.. 😒 #SoAnnoying #NoImNotAPremiumUserAnymoreButStill,"Hey there! The available features of the Free service vary depending on what device you're using. For more info, check this out: Hope this helps /JX",Wed Nov 29 20:30:23 +0000 2017
2377280,2377280,2377279,"Had my new iPhone X for about 10 days now &amp; still no update to take advantage of the different screen. Love looking at black bars while I stream music, especially on an app I pay a monthly subscription for. Is there an update coming soon?",Hi Phil. We hear you. Don't worry - we’re working on it as we speak. We'll keep you posted once we have updates /JU,Tue Nov 14 03:18:20 +0000 2017
1088597,1088597,1088596,why is my (online and osx) player skipping each 30 seconds to next song? I have a premium account and happens for weeks already.,"Hey, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",Fri Oct 13 18:46:09 +0000 2017
1648674,1648674,1648676,"Like, it'll say it's playing the song, but no time will elapse, or if it does there will be no sound. Meaning either restart or fiddle.",Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,Sun Nov 05 22:47:25 +0000 2017
2816732,2816732,2816731,"Would love 2 hear #Worship Bridgette Hammers #BreakingFree added #Playlist ""Top Christian""","Hey there! Thanks for the feedback. Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /NQ",Mon Nov 27 03:50:59 +0000 2017
1991041,1991041,1991040,not only is taking away my student account but also Hulu. WTF?! might be time to switch to Apple Music,"Hey Alex, that's not cool! Can you DM us your account's email address or username? We'll take a look bakcstage /MT",Fri Nov 03 02:26:19 +0000 2017
